CONVERGENCE ITERATIONS

||===============================================================================================================================================================================================||
|| LOAD TIME            || REL. FORCE RESIDUAL    || ABS. FORCE RESIDUAL    || REL. VARIABLE RESIDUAL || ABS. VARIABLE RESIDUAL || ABS. MAX DOF           || LINE SEARCH || RATIO                ||
|| 2.0000000000000e-01  || 1.5791142370797e-02    || 1.2214845265630e+06    || 2.2100426224378e-02    || 8.4603294518343e-01    || 4.3051191455070e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4636422519305e-02    || 1.1321640456255e+06    || 2.2070729614829e-02    || 8.4466642859384e-01    || 4.2926716279905e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5693960415877e-02    || 1.2139672582484e+06    || 2.2036697117568e-02    || 8.4357822608365e-01    || 4.2922449796840e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4547191701207e-02    || 1.1252618177157e+06    || 2.2011685310138e-02    || 8.4239696010498e-01    || 4.2815456733994e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5610244351838e-02    || 1.2074916104170e+06    || 2.1981590499719e-02    || 8.4145593805954e-01    || 4.2811184911391e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4470472941760e-02    || 1.1193274289704e+06    || 2.1960644137306e-02    || 8.4043531642646e-01    || 4.2719184181201e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5538128364247e-02    || 1.2019132576359e+06    || 2.1933964882053e-02    || 8.3962198687250e-01    || 4.2715067841359e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4404490707922e-02    || 1.1142235374489e+06    || 2.1916541558926e-02    || 8.3874049406834e-01    || 4.2635930988615e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5476002181523e-02    || 1.1971076413538e+06    || 2.1892821365795e-02    || 8.3803781100138e-01    || 4.2632064711585e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4347725021224e-02    || 1.1098325689987e+06    || 2.1878447862779e-02    || 8.3727669946232e-01    || 4.2563971255529e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5422478008494e-02    || 1.1929674121280e+06    || 2.1857288888533e-02    || 8.3666980129564e-01    || 4.2560404959947e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4298874448528e-02    || 1.1060538544979e+06    || 2.1845553474518e-02    || 8.3601277612146e-01    || 4.2501796840016e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5376360753553e-02    || 1.1894001266210e+06    || 2.1826609797740e-02    || 8.3548873678316e-01    || 4.2498550756414e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4256824239513e-02    || 1.1028011652088e+06    || 2.1817154957892e-02    || 8.3492166069222e-01    || 4.2448093581745e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5336621713649e-02    || 1.1863262120679e+06    || 2.1800126326395e-02    || 8.3446925771660e-01    || 4.2445168633101e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4220619061051e-02    || 1.1000006037146e+06    || 2.1792642086163e-02    || 8.3397988190091e-01    || 4.2401718775668e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5302375575255e-02    || 1.1836771872437e+06    || 2.1777268231307e-02    || 8.3358938516157e-01    || 4.2399103749244e-01    || 1.0000000   || 2.0000000000000e-01  ||
